order,gp_name,gp_villages,panchayat_samiti,district,verified_or_not,gp_name_goog_translate,gp_village_goog_translate,ps_goog_translate
1949,______,_____ __ ___,_____,barmer,0,dharasar,hood's fried,chauhatan
1950,______,_________,_____,barmer,0,dharasar,bajrangpura,chauhatan
1951,______,_______ __ ___,_____,barmer,0,dharasar,khangat's fried,chauhatan
1952,______,____ __ ___,_____,barmer,0,dharasar,cottony,chauhatan
1953,_____,______,_____,barmer,0,upla,manasar,chauhatan
1954,_____,_______,_____,barmer,0,upla,paradia,chauhatan
1955,_____,_______,_____,barmer,0,upla,devpura,chauhatan
1956,_____,____ __ _____,_____,barmer,0,upla,jani ki basti,chauhatan
1957,_____,_____ __ _____,_____,barmer,0,upla,sumar's settlement,chauhatan
1958,_____,______,_____,barmer,0,upla,meghsar,chauhatan
1959,______,_______,____,barmer,0,bachhadau,khempura,dhanau
1960,______,___________,____,barmer,0,bachhadau,janiyan,dhanau
1961,______,__________,____,barmer,0,bachhadau,thoriovala,dhanau
1962,______,_______,____,barmer,0,bachhadau,rugpura,dhanau
1963,________,_________,____,barmer,0,sodiyar,benivalsar,dhanau
1964,________,________,____,barmer,0,sodiyar,bhukaransar,dhanau
1965,________,______,____,barmer,0,sodiyar,lakh eg,dhanau
1966,________,________,____,barmer,0,sodiyar,er,dhanau
1967,_________,_______,____,barmer,0,bisarania,bhojwas,dhanau
1968,_________,______ _____,____,barmer,0,bisarania,fusani dalasar,dhanau
1969,_________,_________ __ ___,____,barmer,0,bisarania,hirana's fried,dhanau
1970,_________,______ __ ___,____,barmer,0,bisarania,dellu's fried,dhanau
1971,_________,_______ __ ___,____,barmer,0,bisarania,jakhad's fried,dhanau
1972,_________,______,____,barmer,0,bisarania,ramnagar,dhanau
1973,_________,______ __ ___,____,barmer,0,bisarania,fraud,dhanau
1974,______ __ ____,_____ __ ___,____,barmer,0,nehon's pulse,bhils of bhils,dhanau
1975,______ __ ____,_________,____,barmer,0,nehon's pulse,hardanpura,dhanau
1976,______ __ ____,_______,____,barmer,0,nehon's pulse,mandasar,dhanau
1977,______ __ ____,_____________,____,barmer,0,nehon's pulse,harpunian,dhanau
1978,______ __ ____,______,____,barmer,0,nehon's pulse,padmani,dhanau
1979,______ __ ____,__________ __ _____,____,barmer,0,nehon's pulse,dharmapuriji's peg,dhanau
1980,_______,________,____,barmer,0,pokrasar,kharawala,dhanau
1981,_______,_______,____,barmer,0,pokrasar,chimanasar,dhanau
1982,_______,______,____,barmer,0,pokrasar,dhirasar,dhanau
1983,_______ __ ___,________,____,barmer,0,sai's fried,premnagar,dhanau
1984,_______ __ ___,_______ __ ___,____,barmer,0,sai's fried,sai's fried,dhanau
1985,_______ __ ___,_____ __ ___,____,barmer,0,sai's fried,sauv's fried,dhanau
1986,____,_______ __ _____,____,barmer,0,sava,silor settlement,dhanau
1987,____,_____ __ ____,____,barmer,0,sava,sadaram's berry,dhanau
1988,____,_______ __ _____,____,barmer,0,sava,jani's settlement,dhanau
1989,____,_________ __ _____,____,barmer,0,sava,basti of thanaanis,dhanau
1990,____,______ __ _____,____,barmer,0,sava,rajdi settlement,dhanau
1991,____,_________ __ _____,____,barmer,0,sava,kanayas basti,dhanau
1992,____,___________ __,____,barmer,0,sava,harachandanis,dhanau
1993,____,____,____,barmer,0,sava,dhani,dhanau
1994,____,______ __ ____,____,barmer,0,sava,jakhad ki dhani,dhanau
1995,_________,____ ____ _____,____,barmer,0,kisoria,alakhu fakir basti,dhanau
1996,_________,______ ____,____,barmer,0,kisoria,kisor nadi,dhanau
1997,_________,____ __ _____,____,barmer,0,kisoria,sums basti,dhanau
1998,_________,_______ __ ___,____,barmer,0,kisoria,jakhad's fried,dhanau
1999,_________,____ __ ____,____,barmer,0,kisoria,kalu's berry,dhanau
2000,_________,_________ __ _____,____,barmer,0,kisoria,khiliri settlement,dhanau
2001,_____,_______,____,barmer,0,itada,itadia,dhanau
2002,_____,___ __ ___,____,barmer,0,itada,jam of jam,dhanau
2003,_____,_______ __ ___,____,barmer,0,itada,tala of sutras,dhanau
2004,_______,____ __ ___,____,barmer,0,binjasar,bhare's tala,dhanau
2005,_______,______ ____,____,barmer,0,binjasar,ekleiya dhora,dhanau
2006,_______,________ __ _____,____,barmer,0,binjasar,harjiyaani's dhani,dhanau
2007,_______,_____ ____ __,____,barmer,0,binjasar,rahuma azim ki,dhanau
2008,_______,_____,____,barmer,0,binjasar,basti,dhanau
2009,_______,____ __ ___,____,barmer,0,binjasar,miru's tala,dhanau
2010,_____,_____ __ ___,____,barmer,0,talasar,krishna's tala,dhanau
2011,_____,_______,____,barmer,0,talasar,somrad,dhanau
2012,_____,_____ __ ___,____,barmer,0,talasar,vasi's fried,dhanau
2013,______ _______,______ ______,____,barmer,0,bamnore amir shah,bamnor bhavarshah,dhanau
2014,______ _______,_________,____,barmer,0,bamnore amir shah,aarisarabad,dhanau
2015,______ _______,________,____,barmer,0,bamnore amir shah,saharanpur,dhanau
2016,______ _______,________,____,barmer,0,bamnore amir shah,pigalpura,dhanau
2017,______ _______,__________,____,barmer,0,bamnore amir shah,bandabera,dhanau
2018,_________ ___ __ _____,_____,____,barmer,0,amimaamhad shah's basti,basti,dhanau
2019,_________ ___ __ _____,_____,____,barmer,0,amimaamhad shah's basti,rajgarh,dhanau
2020,_________ ___ __ _____,___ __ ___,____,barmer,0,amimaamhad shah's basti,der of chhathar,dhanau
2021,_________ ___ __ _____,________,____,barmer,0,amimaamhad shah's basti,bilalani,dhanau
2022,_________ ___ __ _____,________ ___,____,barmer,0,amimaamhad shah's basti,ambedkar nagar,dhanau
2023,_________ ___ __ _____,____ ____,____,barmer,0,amimaamhad shah's basti,mithi bera,dhanau
2024,_________ ___ __ _____,______,____,barmer,0,amimaamhad shah's basti,rupnagar,dhanau
2025,_________ ___ __ _____,______,____,barmer,0,amimaamhad shah's basti,amirgarh,dhanau
2026,_________ ___ __ _____,____ __ _____,____,barmer,0,amimaamhad shah's basti,bhilo's settlement,dhanau
2027,_____,______ ________ __,____,barmer,0,lielsar,pemani megwal,dhanau
2028,_____,_____,____,barmer,0,lielsar,dhani,dhanau
2029,_____,_______,____,barmer,0,lielsar,sherpura,dhanau
2030,_____,_____ ___,____,barmer,0,lielsar,shravan nagar,dhanau
2031,_____,_________,____,barmer,0,lielsar,siyagpura,dhanau
2032,_____,_______ __ ___,____,barmer,0,lielsar,godran's tala,dhanau
2033,_____,_______ __ ___,____,barmer,0,lielsar,gogadev's tala,dhanau
2034,_____,_____ __ ___,____,barmer,0,lielsar,mukane's tala,dhanau
2035,_________ ___,_____ _____,____,barmer,0,panwaris fried,lielsar dakhanad,dhanau
2036,_________ ___,________ __ ___,____,barmer,0,panwaris fried,budh's fried,dhanau
2037,_________ ___,_____ ___,____,barmer,0,panwaris fried,jasnath nagar,dhanau
2038,_________ ___,_______ ___,____,barmer,0,panwaris fried,sakariya tala,dhanau
2039,_________ ___,______,____,barmer,0,panwaris fried,rugasar,dhanau
2040,_____,______ ________,____,barmer,0,isrol,ramnagar nagonis,dhanau
2041,_____,__ ____,____,barmer,0,isrol,ki dhani,dhanau
2042,_____,_______ __ ____,____,barmer,0,isrol,dhani ki dhani,dhanau
2043,_____,_________ __ ___,____,barmer,0,isrol,sevon's fried,dhanau
2044,_____,_________ __ ____,____,barmer,0,isrol,dhani of tiger,dhanau
2045,_____,_____ __ _____,____,barmer,0,isrol,namad's settlement,dhanau
2046,_____,_________ __ ___,____,barmer,0,isrol,flagnacies,dhanau
2047,_____,_______ __ ___,____,barmer,0,isrol,girdhari's fried,dhanau
2048,_____,____ __ ____,____,barmer,0,isrol,bano ki dhani,dhanau
2049,_____,_________,____,barmer,0,isrol,ramderia,dhanau
2050,_____,______ _______ __,____,barmer,0,isrol,motony godars,dhanau
2051,_____,____,____,barmer,0,isrol,dhani,dhanau
2052,_____,_______ __ ___,____,barmer,0,isrol,returned tala,dhanau
2053,____ __ ___,__________ ___,____,barmer,0,sweet tala,temple der,dhanau
2054,____ __ ___,_____ __ ___,____,barmer,0,sweet tala,ibre's tala,dhanau
2055,_____,____ _____,______,barmer,0,hathla,chhota hathla,cedwa
2056,_____,_______,______,barmer,0,hathla,bachhwal,cedwa
2057,_____,_____,______,barmer,0,hathla,sweet,cedwa
2058,_____,______,______,barmer,0,hathla,mogawa,cedwa
2059,_____,_____,______,barmer,0,hathla,berry,cedwa
2060,______,________,______,barmer,0,bherudi,gangapura,cedwa
2061,______,_____,______,barmer,0,bherudi,bachla,cedwa
2062,______,_________,______,barmer,0,bherudi,kottilani,cedwa
2063,______,______,______,barmer,0,bherudi,chalna,cedwa
2064,______,_______,______,barmer,0,bherudi,somardi,cedwa
2065,______,_______,______,barmer,0,bherudi,battalai,cedwa
2066,______,_________,______,barmer,0,bherudi,bhawanipura,cedwa
2067,____,________,______,barmer,0,cakd,chaukhapura,cedwa
2068,____,___ __ ____,______,barmer,0,cakd,dob's berry,cedwa
2069,____,________,______,barmer,0,cakd,maganadi,cedwa
2070,____,______,______,barmer,0,cakd,devanagar,cedwa
2071,____,______,______,barmer,0,cakd,jhangia,cedwa
2072,____,____ __ ____,______,barmer,0,cakd,moti berry,cedwa
2073,____,_____ ____,______,barmer,0,cakd,adarsh __crab,cedwa
2074,____,______ __ ____,______,barmer,0,cakd,miazal's berry,cedwa
2075,_______,_______,______,barmer,0,gangasara,obhodhania,cedwa
2076,_______,_________,______,barmer,0,gangasara,vishnunagar,cedwa
2077,_______,____,______,barmer,0,gangasara,obstruction,cedwa
2078,_______,___________,______,barmer,0,gangasara,pabududanpura,cedwa
2079,_______,________,______,barmer,0,gangasara,jorapura,cedwa
2080,________,______,______,barmer,0,chichadasar,samvali,cedwa
2081,________,___ __ ___,______,barmer,0,chichadasar,potato tala,cedwa
2082,________,____ __ ___,______,barmer,0,chichadasar,piru's tala,cedwa
2083,________,____ __ ____,______,barmer,0,chichadasar,samon ki dhani,cedwa
2084,_____,_____ _____,______,barmer,0,sondi,adarsh __sondi,cedwa
2085,_____,______ ____,______,barmer,0,sondi,samrathal dhora,cedwa
2086,_____,____ __ ____,______,barmer,0,sondi,bhi ki berry,cedwa
2087,_____,__________,______,barmer,0,sondi,vishnunagari,cedwa
2088,_____,______,______,barmer,0,sondi,rohila,cedwa
2089,______,____ ______,______,barmer,0,bisar,chhoti bisasar,cedwa
2090,______,____ __ _____,______,barmer,0,bisar,dhani ki dhani,cedwa
2091,______,______,______,barmer,0,bisar,jallahla,cedwa
2092,______,_____ __ ___,______,barmer,0,bisar,bhils of bhils,cedwa
2093,______,_________,______,barmer,0,bisar,fitcaria,cedwa
2094,_______,_______,______,barmer,0,faglia,pancharala,cedwa
2095,_______,_______,______,barmer,0,faglia,hemavas,cedwa
2096,_______,______,______,barmer,0,faglia,sagarawab,cedwa
2097,____,____,______,barmer,0,aarti,arta,cedwa
2098,____,_________,______,barmer,0,aarti,sinhania,cedwa
2099,_______,__________,______,barmer,0,cartia,hanumanpura,cedwa
2100,_______,________,______,barmer,0,cartia,pabuberi,cedwa
2101,_______,_______,______,barmer,0,cartia,dholakia,cedwa
2102,_______,_______ _______,______,barmer,0,cartia,devpura cartia,cedwa
2103,_______,___,______,barmer,0,cartia,akal,cedwa
2104,_______,_________,______,barmer,0,bhanwariya,bhandaria,cedwa
2105,_______,_________,______,barmer,0,bhanwariya,gangasaria,cedwa
2106,_______,_____,______,barmer,0,bhanwariya,borla,cedwa
2107,_______,__________,______,barmer,0,bhanwariya,pandarwali,cedwa
2108,______ ______,____ __ ____,______,barmer,0,shubhala sites,gule ki berry,cedwa
2109,______ ______,_________,______,barmer,0,shubhala sites,siyagpura,cedwa
2110,______ ______,______ __ ______,______,barmer,0,shubhala sites,janguo golia,cedwa
2111,______ ______,_________,______,barmer,0,shubhala sites,khilreian,cedwa
2112,______ ______,____ ____,______,barmer,0,shubhala sites,dhako wala,cedwa
2113,______ ______,_______,______,barmer,0,shubhala sites,gorakhdham,cedwa
2114,______ ______,__________ ___,______,barmer,0,shubhala sites,vishwakarma nagar,cedwa
2115,______ ______,_____ ____,______,barmer,0,shubhala sites,turpa nadi,cedwa
2116,______ ______,___ _____,______,barmer,0,shubhala sites,bhil basti,cedwa
2117,_____,____ __ ____,______,barmer,0,sarla,jato's bera,cedwa
2118,_____,______ ___,______,barmer,0,sarla,prabhat nagar,cedwa
2119,_____,_____ __ ___,______,barmer,0,sarla,hussain's tala,cedwa
2120,_________,____,_____,barmer,0,indoomi,bhadru,ramsar
2121,_________,______,_____,barmer,0,indoomi,jodhasar,ramsar
2122,_________,______,_____,barmer,0,indoomi,khiala,ramsar
2123,_________,___,_____,barmer,0,indoomi,chava,ramsar
2124,_________,__________ __ _____,_____,barmer,0,indoomi,halpto settlement,ramsar
2125,_________,_____,_____,barmer,0,indoomi,zadeu,ramsar
2126,_________,_____ ___,_____,barmer,0,indoomi,baldev nagar,ramsar
2127,_________,_______,_____,barmer,0,indoomi,kanpura,ramsar
2128,_________,____,_____,barmer,0,indoomi,basra,ramsar
2129,_________,____ _________ ___,_____,barmer,0,indoomi,shaheed pahar singh nagar,ramsar
2130,_______,____ ____ __ _____,_____,barmer,0,padharia,juma fakir's settlement,ramsar
2131,_______,______,_____,barmer,0,padharia,bangli,ramsar
2132,_______,_________,_____,barmer,0,padharia,alarakhpura,ramsar
2133,_______,_____ ________,_____,barmer,0,padharia,chadwa takhtabad,ramsar
2134,_______,____ __ ___,_____,barmer,0,padharia,pire's cross,ramsar
2135,_______,____ ______ __ ____,_____,barmer,0,padharia,haji pirane's dhani,ramsar
2136,_______,____________,_____,barmer,0,padharia,bindusiani,ramsar
2137,_______,__________ __ ___,_____,barmer,0,padharia,crossing of chandanis,ramsar
2138,_______,____________ __,_____,barmer,0,padharia,of india,ramsar
2139,_______,_____,_____,barmer,0,padharia,basti,ramsar
2140,___ __ ___,_____ ____ _____,_____,barmer,0,abhi's cross,chadwa aka jhadwa,ramsar
2141,___ __ ___,____,_____,barmer,0,abhi's cross,sodhai,ramsar
2142,___ __ ___,_____,_____,barmer,0,abhi's cross,nilsar,ramsar
2143,___ __ ___,_____ __ _____,_____,barmer,0,abhi's cross,sodhon's settlement,ramsar
2144,___ __ ___,___________,_____,barmer,0,abhi's cross,pudpuria,ramsar
2145,___ __ ___,_________ __ ___,_____,barmer,0,abhi's cross,crossing gangais,ramsar
2146,___ __ ___,_________ __ ___,_____,barmer,0,abhi's cross,crossing devanis,ramsar
2147,_____,____ __ ____,_____,barmer,0,,bagte ki berry,ramsar
2148,_____,______,_____,barmer,0,,suwada,ramsar
2149,_____,_____,_____,barmer,0,,lasuva,ramsar
2150,_____,______,_____,barmer,0,,lilanagar,ramsar
2151,___________,________,_____,barmer,0,babugularia,nopatia,ramsar
2152,___________,____,_____,barmer,0,babugularia,build,ramsar
2153,___________,_____,_____,barmer,0,babugularia,kharchi,ramsar
2154,___________,_____ ____,_____,barmer,0,babugularia,ramsar agor,ramsar
2155,______ __ ___,_____ __ ____,_____,barmer,0,bhinde crosses,bhils dhani,ramsar
2156,______ __ ___,_________,_____,barmer,0,bhinde crosses,mekranwala,ramsar
2157,______ __ ___,______ __ _____,_____,barmer,0,bhinde crosses,sobdar settlement,ramsar
2158,______ __ ___,____,_____,barmer,0,bhinde crosses,bukar,ramsar
2159,______ __ ___,____ __ ___,_____,barmer,0,bhinde crosses,cross of jadam,ramsar
2160,______ __ ___,____ __ ___,_____,barmer,0,bhinde crosses,obu crosses,ramsar
2161,______ __ ___,____ __ ____,_____,barmer,0,bhinde crosses,sarif ki dhani,ramsar
2162,_____ __ ___,____ __ ____,_____,barmer,0,sajjan's cross,safal ki dhani,ramsar
2163,_____ __ ___,_____ __ _____,_____,barmer,0,sajjan's cross,bannai's settlement,ramsar
2164,_____ __ ___,_________,_____,barmer,0,sajjan's cross,luckyali,ramsar
2165,_____ __ ___,___ __ ___,_____,barmer,0,sajjan's cross,crossing the clan,ramsar
2166,_____ __ ___,_____ __ ___,_____,barmer,0,sajjan's cross,mohammed's cross,ramsar
2167,_____ __ ___,____ __ ___,_____,barmer,0,sajjan's cross,crossing carry,ramsar
2168,_____ __ ___,_____ __ ___,_____,barmer,0,sajjan's cross,nange's cross,ramsar
2169,_____ __ ___,_________ __ ____,_____,barmer,0,sajjan's cross,tiba of kumbhon,ramsar
2170,_____ __ ___,_____ __ ___,_____,barmer,0,sajjan's cross,crossing samote,ramsar
2171,_____ __ ___,_______ __ ___,_____,barmer,0,sajjan's cross,rathod's tala,ramsar
2172,______,_____,_____,barmer,0,surali,bookdi,ramsar
2173,______,_____ __ ___,_____,barmer,0,surali,madrupa's tala,ramsar
2174,______,______,_____,barmer,0,surali,jallahla,ramsar
2175,______,________,_____,barmer,0,surali,hindia,ramsar
2176,______,____ __ ____,_____,barmer,0,surali,manak ki dhani,ramsar
2177,______,____ __ ___,_____,barmer,0,surali,emerged beyond,ramsar
2178,______,________ _______ __,_____,barmer,0,surali,kinadia chanis,ramsar
2179,______,____,_____,barmer,0,surali,dhani,ramsar
2180,_______,_______ ______,_____,barmer,0,gagaria,gagaria station,ramsar
2181,_______,_____,_____,barmer,0,gagaria,siya,ramsar
2182,_______,_______ __ ___,_____,barmer,0,gagaria,crossing of kantalia,ramsar
2183,_______,_________ __ ___,_____,barmer,0,gagaria,cross jaitians,ramsar
2184,_______,________,_____,barmer,0,gagaria,azadpura,ramsar
2185,_______,_____ __ ___,_____,barmer,0,gagaria,cross of madhar,ramsar
2186,_______,_____ __ ___,_____,barmer,0,gagaria,cross the bhils,ramsar
2187,_______,____ __ ___,_____,barmer,0,gagaria,sand beyond,ramsar
2188,_______,____ __ ___,_____,barmer,0,gagaria,ajbe's cross,ramsar
2189,____ __ ___,_________,_____,barmer,0,crossing cross,pabusaria,ramsar
2190,____ __ ___,_______ _____,_____,barmer,0,crossing cross,good khadin,ramsar
2191,____ __ ___,______ __ ___,_____,barmer,0,crossing cross,sujawal's cross,ramsar
2192,____ __ ___,________,_____,barmer,0,crossing cross,virmaiyar,ramsar
2193,____ __ ___,__ _____,_____,barmer,0,crossing cross,new siya,ramsar
2194,______,_____,_____,barmer,0,butia,jheeloon,ramsar
2195,______,______,_____,barmer,0,butia,ajabani,ramsar
2196,______,______,_____,barmer,0,butia,sagrani,ramsar
2197,______,_____ __ ___,_____,barmer,0,butia,alarakh cross,ramsar
2198,_____,_________ ___,_____,barmer,0,khadin,ramderia tala,ramsar
2199,_____,______ ________ __,_____,barmer,0,khadin,gainani kadwasaro ki,ramsar
2200,_____,____,_____,barmer,0,khadin,dhani,ramsar
2201,_____,_______,_____,barmer,0,khadin,hemavas,ramsar
2202,_____,____ __ _____,_____,barmer,0,khadin,sodho ki basti,ramsar
2203,_____,______ __ ____,_____,barmer,0,khadin,daukio dhani,ramsar
2204,_____,________ __ ___,_____,barmer,0,khadin,ramanio's tala,ramsar
2205,_____,____ __ ___,_____,barmer,0,khadin,benefit tala,ramsar
2206,_____,____ ___,_____,barmer,0,khadin,shera nagar,ramsar
2207,_____,_____ ___,_____,barmer,0,khadin,gandhi nagar,ramsar
2208,_____,______ __ ___,_____,barmer,0,khadin,jakhad's tala,ramsar
2209,_____,______ ______ __,_____,barmer,0,khadin,farsani jakhado ki,ramsar
2210,_____,____,_____,barmer,0,khadin,dani,ramsar
2211,_____,__________,_____,barmer,0,khadin,indrawas,ramsar
2212,_____,_______,_____,barmer,0,khadin,piravas,ramsar
2213,_____,______ ___,_____,barmer,0,khadin,devraj nagar,ramsar
2214,_____,_____ ___,_____,barmer,0,khadin,rajiv nagar,ramsar
2215,____,____ ____,_____,barmer,0,chadi,rodi nadi,ramsar
2216,____,____________ __,_____,barmer,0,chadi,amolakhoni's,ramsar
2217,____,____,_____,barmer,0,chadi,dhani,ramsar
2218,____,_________ __ ___,_____,barmer,0,chadi,gidalis tala,ramsar
2219,____,_____,_____,barmer,0,chadi,dhanoda,ramsar
2220,____,_______,_____,barmer,0,chadi,chanpura,ramsar
2221,______ _______,_________ __ _____,_____,barmer,0,kharia rathodan,noh's settlement,ramsar
2222,______ _______,_________ __ _____,_____,barmer,0,kharia rathodan,skills basti,ramsar
2223,______ _______,________,_____,barmer,0,kharia rathodan,chimanpura,ramsar
2224,______ _______,_______ __ ___,_____,barmer,0,kharia rathodan,pooni's fried,ramsar
2225,______ _______,_____ ___,_____,barmer,0,kharia rathodan,subhash nagar,ramsar
2226,______,__________,_____,barmer,0,siaani,bamaniwas,ramsar
2227,______,__________ ____,_____,barmer,0,siaani,khejdiyali nadi,ramsar
2228,______,______,_____,barmer,0,siaani,labraru,ramsar
2229,______,______,_____,barmer,0,siaani,chauthia,ramsar
2230,______,_______,_____,barmer,0,siaani,bhanwaralai,ramsar
2231,______,___ ___,_____,barmer,0,siaani,ram nagar,ramsar
2232,_____,_______,_____,barmer,0,hathma,ilolia,ramsar
2233,____,_______,______,barmer,0,sela,hemavas,sewana
2234,____,______,______,barmer,0,sela,jeanpur,sewana
2235,____,______,______,barmer,0,sela,mubari,sewana
2236,____,_________,______,barmer,0,sela,sundhanagar,sewana
2237,____,_____,______,barmer,0,dheera,asked,sewana
2238,____,______ ___,______,barmer,0,dheera,mahadev nagar,sewana
2239,____,________,______,barmer,0,dheera,vishanpura,sewana
2240,_____,_________,______,barmer,0,cenner,jetmalnagar,sewana
2241,_____,________,______,barmer,0,cenner,valiana,sewana
2242,_____,_________,______,barmer,0,cenner,gulabpura,sewana
2243,_____,________,______,barmer,0,cenner,bhakharpura,sewana
2244,___,__________,______,barmer,0,plain,sriramnagar,sewana
2245,___,___________,______,barmer,0,plain,anapuranagar,sewana
2246,_____,_____ ________,______,barmer,0,bhagwa,bhagwa raghunathgarh,sewana
2247,_____,_______,______,barmer,0,bhagwa,sabalpura,sewana
2248,_____,_______,______,barmer,0,bhagwa,telwada,sewana
2249,_____,_______,______,barmer,0,bhagwa,gogama,sewana
2250,______ ___,________,______,barmer,0,padardi art,parvatnagar,sewana
2251,______ ___,________,______,barmer,0,padardi art,harmalpura,sewana
2252,______ ___,_______,______,barmer,0,padardi art,bhimgoda,sewana
2253,_____,______ ___,______,barmer,0,kusheep,ramdev nagar,sewana
2254,_____,____ _________,______,barmer,0,kusheep,kheda kindavada,sewana
2255,______,_____ __ ____,______,barmer,0,kotdi,ambo's fence,samdari
2256,______,__ _______,______,barmer,0,kotdi,math khartia,samdari
2257,______,______,______,barmer,0,kotdi,laliya,samdari
2258,_______,____,______,barmer,0,sanwarrada,bhuti,samdari
2259,_______,____,______,barmer,0,sanwarrada,phoolan,samdari
2260,______,______,______,barmer,0,sewali,chiali,samdari
2261,______,_____ __ ____,______,barmer,0,sewali,kammo's fence,samdari
2262,______,_____,______,barmer,0,bamsin,sueli,samdari
2263,______,_____,______,barmer,0,bamsin,devda,samdari
2264,______,__________,______,barmer,0,bamsin,durgapura,samdari
2265,_____,________,______,barmer,0,silor,pabupura,samdari
2266,_____,_________,______,barmer,0,silor,devalali,samdari
2267,_____ ____,_____ ____,______,barmer,0,baytu panji,baytu panji,samdari
2268,_____ ____,______ __ ___,______,barmer,0,baytu panji,saluji's tala,samdari
2269,_____ ____,________ __ ____,______,barmer,0,baytu panji,dhani ki dhani,samdari
2270,_____ ____,________,______,barmer,0,baytu panji,banknadi,samdari
2271,_____ ____,__________ __ ____,______,barmer,0,baytu panji,dhani ki dhani,samdari
2272,_____ ____,_____ _ ________,______,barmer,0,baytu panji,kakad and banoniyas,samdari
2273,_____ ____,____ __ ____,______,barmer,0,baytu panji,mudho ki dhani,samdari
2274,_____ ____,__________ ____ __,______,barmer,0,baytu panji,mahingono mudho ki,samdari
2275,_____ ____,____,______,barmer,0,baytu panji,dhani,samdari
2276,_____ ____,_______ __ ____,______,barmer,0,baytu panji,janaduo ki dhani,samdari
2277,_____ ____,______,______,barmer,0,baytu panji,lilala,samdari
2278,_____ ____,______ ___,______,barmer,0,baytu panji,sweet tala,samdari
2279,_________,_____ __,______,barmer,0,seveniala,sihdo ki,samdari
2280,_________,____,______,barmer,0,seveniala,dhani,samdari
2281,_________,________ __ ____,______,barmer,0,seveniala,dhani of khartaniya,samdari
2282,_________,________ __ ____,______,barmer,0,seveniala,chenani ki dhani,samdari
2283,_________,_______ __ ____,______,barmer,0,seveniala,panoni ki dhani,samdari
2284,_________,______,______,barmer,0,seveniala,bhojasar,samdari
2285,_________,___ __ ____,______,barmer,0,seveniala,sauo ki dhani,samdari
2286,_________,_______ __ ____,______,barmer,0,seveniala,seoul dhani,samdari
2287,_________,_____________,______,barmer,0,seveniala,raichandrapura,samdari
2288,_______ ______,________ __ ____,______,barmer,0,madpura barwala,bhagoni ki dhani,samdari
2289,_______ ______,__________ __ ____,______,barmer,0,madpura barwala,nimbani ki dhani,samdari
2290,_______ ______,_______ __ ____,______,barmer,0,madpura barwala,bhambhuo ki dhani,samdari
2291,_______ ______,__________ __ ____,______,barmer,0,madpura barwala,dhani ki dhani,samdari
2292,_______ ______,_______ __ ____,______,barmer,0,madpura barwala,siyag's dhani,samdari
2293,_______ ______,_______ __ ____,______,barmer,0,madpura barwala,dhani ki dhani,samdari
2294,_______ ______,_______ ______ ____,______,barmer,0,madpura barwala,madpura old village,samdari
2295,_____ _____,________,______,barmer,0,baytu bhopji,ramsaria,samdari
2296,_____ _____,______,______,barmer,0,baytu bhopji,jogasar,samdari
2297,_____ _____,_____ ___,______,barmer,0,baytu bhopji,magoni nagar,samdari
2298,_____ _____,______ _______ __,______,barmer,0,baytu bhopji,heroni dhatwalo ki,samdari
2299,_____ _____,____,______,barmer,0,baytu bhopji,dhani,samdari
2300,_____ _____,_______ __ ___ 6 .,______,barmer,0,baytu bhopji,city of dhatwalo 6.,samdari
2301,_____ _____,_____ ___,______,barmer,0,baytu bhopji,jasnath nagar,samdari
2302,_____ _____,_____ __ ____,______,barmer,0,baytu bhopji,brado ki dhani,samdari
2303,_____ _____,______ _______ __,______,barmer,0,baytu bhopji,jodhony dhatwalo,samdari
2304,_____ _____,_______ _______,______,barmer,0,baytu bhopji,purkhoni dhatarwalo,samdari
2305,_____ _____,__ ____,______,barmer,0,baytu bhopji,ki dhani,samdari
2306,_____,______,______,barmer,0,chaukhala,karanpur,samdari
2307,_____,______,______,barmer,0,chaukhala,phulasar,samdari
2308,_____,______,______,barmer,0,chaukhala,bagsar,samdari
2309,_____,______,______,barmer,0,chaukhala,danasar,samdari
2310,_____,_________,______,barmer,0,chaukhala,jasnathpuri,samdari
2311,_____,_____ __ ___,______,barmer,0,chaukhala,ketio tala,samdari
2312,_____,______,______,barmer,0,chaukhala,mulani,samdari
2313,_____,_____ __ ___,______,barmer,0,chaukhala,khanji's tala,samdari
2314,_____,______,______,barmer,0,chaukhala,jaitpur,samdari
2315,_____,_______,______,barmer,0,chaukhala,khavadia,samdari
2316,_____,_____ ___,______,barmer,0,chaukhala,ramsar kua,samdari
2317,_____,_______,______,barmer,0,chaukhala,sakharoda,samdari
2318,_____,______ ____,______,barmer,0,chaukhala,navaldev umbrella,samdari
2319,_____ _____,_____ ____,______,barmer,0,baytu bhimji,dharna dhora,samdari
2320,_____ _____,______ _______ __,______,barmer,0,baytu bhimji,rugoni megwalo,samdari
2321,_____ _____,_________ __ ____,______,barmer,0,baytu bhimji,sindhis dhani,samdari
2322,_____ _____,_____ ____,______,barmer,0,baytu bhimji,wheat wale,samdari
2323,_____ _____,_____ __ ____,______,barmer,0,baytu bhimji,nayo ki dhani,samdari
2324,_____ _____,________,______,barmer,0,baytu bhimji,rekuwala,samdari
2325,_____ _____,_______ __ ____,______,barmer,0,baytu bhimji,dhatwalo ki dhani,samdari
2326,_____ _____,_____ ____,______,barmer,0,baytu bhimji,baniya dhora,samdari
