current_gp_name,old_gp_villages,old_gp_village_fixed,district,ps,order,gp_goog_translate,gp_village_goog_translate,ps_goog_translate,gp_village_fixed
सेवनी,भवानीपुरा,भवानीपुरा,baran,किशनगंज,2805,sevani,bhawanipura,kishanganj,
सेवनी,मदनपुरा,मदनपुरा,baran,किशनगंज,2806,sevani,madanpura,kishanganj,
सेवनी,पदमपुरा,पदमपुरा,baran,किशनगंज,2807,sevani,padampura,kishanganj,
सेवनी,स्वरूपपुरा,स्वरूपपुरा,baran,किशनगंज,2808,sevani,swarooppura,kishanganj,
सेवनी,लक्ष्मीपुरा,लक्ष्मीपुरा,baran,किशनगंज,2809,sevani,laxmipura,kishanganj,
सेवनी,कागलाबमोरी,कागलाबमोरी,baran,किशनगंज,,sevani,kagalabamori,kishanganj,
सेवनी,पंचमपुरा,पंचमपुरा,baran,किशनगंज,2810,sevani,panchampura,kishanganj,
संदोकडा,संदोकडा,संदोकडा,baran,शाहबाद,2811,sandokda,sandokda,shahabad,
संदोकडा,आगर,आगर,baran,शाहबाद,2812,sandokda,agar,shahabad,
संदोकडा,कस्बाथाना,कस्बाथाना,baran,शाहबाद,2814,sandokda,kasbathana,shahabad,
संदोकडा,सनवाडा,सनवाडा,baran,शाहबाद,2815,sandokda,sanwada,shahabad,
संदोकडा,मझोला,मझोला,baran,शाहबाद,2816,sandokda,majhola,shahabad,
संदोकडा,पाटन,पाटन,baran,शाहबाद,2817,sandokda,patan,shahabad,
संदोकडा,मलवाया ( गैर आबाद ),मलवाया ( गैर आबाद ),baran,शाहबाद,2818,sandokda,malavaya (non -populated),shahabad,
संदोकडा,चूरिया ( गैर आबाद ),चूरिया ( गैर आबाद ),baran,शाहबाद,2819,sandokda,churia (non -populated),shahabad,
संदोकडा,जखा,जखा,baran,शाहबाद,2820,sandokda,jakha,shahabad,
संदोकडा,बजरखा ( गैर आबाद ),बजरखा ( गैर आबाद ),baran,शाहबाद,2821,sandokda,bajrakha (non -populated),shahabad,
संदोकडा,महेशपुर,महेशपुर,baran,शाहबाद,,sandokda,maheshpur,shahabad,
संदोकडा,सांधरी,सांधरी,baran,शाहबाद,2822,sandokda,sandhari,shahabad,
संदोकडा,मण्डीसाभरसिंगा,मण्डीसाभरसिंगा,baran,शाहबाद,2823,sandokda,mandisa barsinga,shahabad,
केलवाडा,केलवाडा,केलवाडा,baran,शाहबाद,2824,kelwada,kelwada,shahabad,
केलवाडा,दांता,दांता,baran,शाहबाद,2825,kelwada,danta,shahabad,
केलवाडा,छिछरोनी,छिछरोनी,baran,शाहबाद,2826,kelwada,chichroni,shahabad,
केलवाडा,ख्यावदा,ख्यावदा,baran,शाहबाद,2827,kelwada,khyavada,shahabad,
शुभघरा,शुभघरा,शुभघरा,baran,शाहबाद,2828,shubhaghara,shubhaghara,shahabad,
शुभघरा,खुशालपुरा,खुशालपुरा,baran,शाहबाद,2829,shubhaghara,khushalpura,shahabad,
शुभघरा,भोयल,भोयल,baran,शाहबाद,2830,shubhaghara,bhoyal,shahabad,
शुभघरा,फरेदुआ तल 0,फरेदुआ तल 0,baran,शाहबाद,2831,shubhaghara,fredua floor 0,shahabad,
शुभघरा,मुंगावली,मुंगावली,baran,शाहबाद,2832,shubhaghara,mungaoli,shahabad,
शुभघरा,पाजनटोरी,पाजनटोरी,baran,शाहबाद,2833,shubhaghara,pantory,shahabad,
शुभघरा,ढूढावर,ढूढावर,baran,शाहबाद,2834,shubhaghara,dhudhawar,shahabad,
शुभघरा,गुजर्रा,गुजर्रा,baran,शाहबाद,2835,shubhaghara,gujrara,shahabad,
शुभघरा,हाण्डीखेडा ( गैर आबाद ),हाण्डीखेडा ( गैर आबाद ),baran,शाहबाद,,shubhaghara,handikheda (non -populated),shahabad,
शुभघरा,गत्ताखेडा ( गैर आबाद ),गत्ताखेडा ( गैर आबाद ),baran,शाहबाद,,shubhaghara,gattakheda (non -populated),shahabad,
शुभघरा,हनुमतखेडा ( गैरआबाद ),हनुमतखेडा ( गैरआबाद ),baran,शाहबाद,,shubhaghara,hanumatkheda (garbad),shahabad,
शुभघरा,बूडी भोयल,बूडी भोयल,baran,शाहबाद,2837,shubhaghara,body bhoyal,shahabad,
बीलखेडा माल,बीलखेडा माल,बीलखेडा माल,baran,शाहबाद,2838,bilakheda goods,bilakheda goods,shahabad,
बीलखेडा माल,गोरधनपुरा,गोरधनपुरा,baran,शाहबाद,2839,bilakheda goods,gordhanpura,shahabad,
बीलखेडा माल,गोयरा,गोयरा,baran,शाहबाद,2840,bilakheda goods,goyra,shahabad,
बीलखेडा माल,कंवरपुरा ( गैर आबाद ),कंवरपुरा ( गैर आबाद ),baran,शाहबाद,2841,bilakheda goods,kanwarpura (non -populated),shahabad,
बीलखेडा माल,सालोदा ( गैर आबाद ),सालोदा ( गैर आबाद ),baran,शाहबाद,2842,bilakheda goods,saloda (non -populated),shahabad,
बीलखेडा माल,गांजन,गांजन,baran,शाहबाद,2843,bilakheda goods,ganjan,shahabad,
बीलखेडा माल,छिपोल,छिपोल,baran,शाहबाद,2844,bilakheda goods,chick,shahabad,
बीलखेडा माल,सड़,सड़,baran,शाहबाद,2845,bilakheda goods,road,shahabad,
बीलखेडा माल,घोघरा,घोघरा,baran,शाहबाद,2847,bilakheda goods,ghoghara,shahabad,
बीलखेडा माल,हनौतिया,हनौतिया,baran,शाहबाद,2848,bilakheda goods,hanoutia,shahabad,
बीलखेडा माल,हरियानगर,हरियानगर,baran,शाहबाद,2849,bilakheda goods,hariyanagar,shahabad,
ठीकरिया,मोलकी,मोलकी,baran,अन्ता,2850,thikariya,molki,anta,
ठीकरिया,ठीकरिया,ठीकरिया,baran,अन्ता,2851,thikariya,thikariya,anta,
ठीकरिया,नागदा,नागदा,baran,अन्ता,2852,thikariya,nagda,anta,
अमलसरा,अमलसरा,अमलसरा,baran,अन्ता,2853,amalsara,amalsara,anta,
अमलसरा,गोपालपुरा,गोपालपुरा,baran,अन्ता,2854,amalsara,gopalpura,anta,
अमलसरा,गुलाबपुरा,गुलाबपुरा,baran,अन्ता,2855,amalsara,gulabpura,anta,
अमलसरा,आमा,आमा,baran,अन्ता,2856,amalsara,ama,anta,
अमलसरा,दुगारी,दुगारी,baran,अन्ता,2857,amalsara,dugari,anta,
सोरसन,सोरसन,सोरसन,baran,अन्ता,2858,sorson,sorson,anta,
सोरसन,कल्याणपुरा उर्फ ढाबला,कल्याणपुरा उर्फ ढाबला,baran,अन्ता,2859,sorson,kalyanpura aka dhabla,anta,
सोरसन,झोपडिया सोरसन,झोपडिया सोरसन,baran,अन्ता,2860,sorson,hut sorson,anta,
सोरसन,मऊ,मऊ,baran,अन्ता,2861,sorson,mau,anta,
सोरसन,राजोडिया,राजोडिया,baran,अन्ता,2862,sorson,rajodia,anta,
सोरसन,देवपुरा सोरसन,देवपुरा सोरसन,baran,अन्ता,2863,sorson,devpura sorson,anta,
नियाना,नियाना,नियाना,baran,अन्ता,2864,nayana,nayana,anta,
नियाना,आसन नक्टी,आसन नक्टी,baran,अन्ता,2865,nayana,asan nakti,anta,
नियाना,मानपुरा,मानपुरा,baran,अन्ता,2866,nayana,manpura,anta,
नियाना,खरखडा,खरखडा,baran,अन्ता,2867,nayana,kharkhada,anta,
नियाना,बिलेण्डी,बिलेण्डी,baran,अन्ता,2868,nayana,bilandi,anta,
नियाना,कैथौडी,कैथौडी,baran,अन्ता,2869,nayana,cathodi,anta,
नियाना,मोहम्मदपुर,मोहम्मदपुर,baran,अन्ता,2870,nayana,mohammadpur,anta,
नियाना,ताखा,ताखा,baran,अन्ता,2871,nayana,takha,anta,
नियाना,कोटडी,कोटडी,baran,अन्ता,2872,nayana,kotdi,anta,
नियाना,बावडीखेडा,बावडीखेडा,baran,अन्ता,2873,nayana,bawdikheda,anta,
नियाना,सांगाहेडी,सांगाहेडी,baran,अन्ता,2874,nayana,sangahedi,anta,
तिसाया,तिसाया,तिसाया,baran,बारां,2875,tisaya,tisaya,baran,
तिसाया,खेडलीकेशो,खेडलीकेशो,baran,बारां,2876,tisaya,khedlesho,baran,
तिसाया,पीलिया,पीलिया,baran,बारां,2877,tisaya,jaundice,baran,
तिसाया,मानपुरा,मानपुरा,baran,बारां,2878,tisaya,manpura,baran,
तिसाया,रीठोद,रीठोद,baran,बारां,2879,tisaya,reethod,baran,
कोटडी सूण्डा,कोटडी सूण्डा,कोटडी सूण्डा,baran,बारां,2880,kotdi shunda,kotdi shunda,baran,
कोटडी सूण्डा,उल्थी,उल्थी,baran,बारां,2881,kotdi shunda,ultra,baran,
कोटडी सूण्डा,शाहगढ़,शाहगढ़,baran,बारां,2882,kotdi shunda,shahgarh,baran,
कोटडी सूण्डा,तेजगढ,तेजगढ,baran,बारां,2883,kotdi shunda,tejgarh,baran,
कोटडी सूण्डा,मजरावता,मजरावता,baran,बारां,2884,kotdi shunda,majravata,baran,
दौलतपुरा,दौलतपुरा,दौलतपुरा,bundi,केशोरायपाटन,2885,daulatpura,daulatpura,keshoraipatan,
दौलतपुरा,नयागावं,नयागावं,bundi,केशोरायपाटन,2886,daulatpura,nayagaon,keshoraipatan,
दौलतपुरा,सुनारी,सुनारी,bundi,केशोरायपाटन,2887,daulatpura,sunari,keshoraipatan,
दौलतपुरा,महापुरा,महापुरा,bundi,केशोरायपाटन,2888,daulatpura,mahapura,keshoraipatan,
दौलतपुरा,हरदेवगंज,हरदेवगंज,bundi,केशोरायपाटन,2889,daulatpura,hardevganj,keshoraipatan,
दौलतपुरा,कानपुर,कानपुर,bundi,केशोरायपाटन,2890,daulatpura,kanpur,keshoraipatan,
दौलतपुरा,देवपुरा,देवपुरा,bundi,केशोरायपाटन,,daulatpura,devpura,keshoraipatan,
दौलतपुरा,हीरापुरा,हीरापुरा,bundi,केशोरायपाटन,2891,daulatpura,hirapura,keshoraipatan,
दौलतपुरा,टोकसपुरा,टोकसपुरा,bundi,केशोरायपाटन,2892,daulatpura,tokaspura,keshoraipatan,
दौलतपुरा,रूपपुरा,रूपपुरा,bundi,केशोरायपाटन,2893,daulatpura,rooppura,keshoraipatan,
दौलतपुरा,नान्ता,नान्ता,bundi,केशोरायपाटन,2894,daulatpura,nanta,keshoraipatan,
मोहनपुरा,मोहनपुरा,मोहनपुरा,bundi,केशोरायपाटन,2895,mohanpura,mohanpura,keshoraipatan,
मोहनपुरा,छत्रपुरा,छत्रपुरा,bundi,केशोरायपाटन,2896,mohanpura,chhatrapura,keshoraipatan,
मोहनपुरा,झीडा,झीडा,bundi,केशोरायपाटन,2897,mohanpura,jheda,keshoraipatan,
मोहनपुरा,दरामाताजी,दरामाताजी,bundi,केशोरायपाटन,2898,mohanpura,damataji,keshoraipatan,
मोहनपुरा,बालापुरा,बालापुरा,bundi,केशोरायपाटन,2899,mohanpura,balapura,keshoraipatan,
मोहनपुरा,श्योदानपुरा,श्योदानपुरा,bundi,केशोरायपाटन,2900,mohanpura,shyotanpura,keshoraipatan,
बाबई,बाबई,बाबई,bundi,केशोरायपाटन,2901,babai,babai,keshoraipatan,
बाबई,मोतीनगर,मोतीनगर,bundi,केशोरायपाटन,2902,babai,motinagar,keshoraipatan,
बाबई,केलाशपुरी,केलाशपुरी,bundi,केशोरायपाटन,2903,babai,kelashpuri,keshoraipatan,
बाबई,बोहरियागांव,बोहरियागांव,bundi,केशोरायपाटन,2904,babai,bohariagaon,keshoraipatan,
बाबई,संग्रामगंज,संग्रामगंज,bundi,केशोरायपाटन,2905,babai,sangramganj,keshoraipatan,
बाबई,लालपुरा,लालपुरा,bundi,केशोरायपाटन,2906,babai,lalpura,keshoraipatan,
बाबई,रमजपुरा,रमजपुरा,bundi,केशोरायपाटन,2907,babai,ramjpura,keshoraipatan,
बाबई,जयनिवास,जयनिवास,bundi,केशोरायपाटन,2908,babai,jayanivas,keshoraipatan,
बाबई,सुन्दरनगर,सुन्दरनगर,bundi,केशोरायपाटन,2909,babai,sundernagar,keshoraipatan,
बाबई,जयनगर,जयनगर,bundi,केशोरायपाटन,2910,babai,jayanagar,keshoraipatan,
बाबई,सुमेरपुरा,सुमेरपुरा,bundi,केशोरायपाटन,2911,babai,sumerpura,keshoraipatan,
गुढा,गुढा,गुढा,bundi,केशोरायपाटन,2912,gudha,gudha,keshoraipatan,
गुढा,शेरगंज,शेरगंज,bundi,केशोरायपाटन,2913,gudha,sherganj,keshoraipatan,
गुढा,पापडा,पापडा,bundi,केशोरायपाटन,2914,gudha,papada,keshoraipatan,
गुढा,केमल्या,केमल्या,bundi,केशोरायपाटन,2915,gudha,kemalya,keshoraipatan,
गुढा,रामपुरिया,रामपुरिया,bundi,केशोरायपाटन,2916,gudha,rampuria,keshoraipatan,
गुढा,बेलनगंज,बेलनगंज,bundi,केशोरायपाटन,2917,gudha,belanganj,keshoraipatan,
गुढा,चन्द्रगंज,चन्द्रगंज,bundi,केशोरायपाटन,2918,gudha,chandraganj,keshoraipatan,
गुढा,रामनगर,रामनगर,bundi,केशोरायपाटन,2919,gudha,ramnagar,keshoraipatan,
नवलपुरा,नवलपुरा,नवलपुरा,bundi,केशोरायपाटन,2920,navalpura,navalpura,keshoraipatan,
नवलपुरा,शिवगंज,शिवगंज,bundi,केशोरायपाटन,,navalpura,shivganj,keshoraipatan,
नवलपुरा,लक्ष्मीपुरा,लक्ष्मीपुरा,bundi,केशोरायपाटन,2921,navalpura,laxmipura,keshoraipatan,
नवलपुरा,अभयपुरा,अभयपुरा,bundi,केशोरायपाटन,2922,navalpura,abhayapura,keshoraipatan,
नवलपुरा,केशोपुरा,केशोपुरा,bundi,केशोरायपाटन,2923,navalpura,keshopura,keshoraipatan,
नवलपुरा,गेन्दापुरा,गेन्दापुरा,bundi,केशोरायपाटन,,navalpura,gandapura,keshoraipatan,
नवलपुरा,कोलासपुरा,कोलासपुरा,bundi,केशोरायपाटन,2924,navalpura,kolaspura,keshoraipatan,
सथूर,सथूर,सथूर,bundi,हिण्डोली,2925,sathur,sathur,hindoli,
सथूर,ढाकणी,ढाकणी,bundi,हिण्डोली,2926,sathur,dhakani,hindoli,
सथूर,शोला की झौ o,शोला की झौ o,bundi,हिण्डोली,2927,sathur,shola's jhou o,hindoli,
सथूर,तालाब गांव,तालाब गांव,bundi,हिण्डोली,2928,sathur,pond village,hindoli,
सथूर,नठावा,नठावा,bundi,हिण्डोली,2929,sathur,nathawa,hindoli,
सथूर,हरिपुरा,हरिपुरा,bundi,हिण्डोली,2930,sathur,haripura,hindoli,
सथूर,रामपुरिया,रामपुरिया,bundi,हिण्डोली,2931,sathur,rampuria,hindoli,
ठीकरदा,ठीकरदा,ठीकरदा,bundi,हिण्डोली,2932,thikarda,thikarda,hindoli,
ठीकरदा,जयनिवास,जयनिवास,bundi,हिण्डोली,2933,thikarda,jayanivas,hindoli,
अल्फानगर,अल्फानगर,अल्फानगर,bundi,तालेड़ा,2934,alphanagar,alphanagar,talera,
अल्फानगर,सीतापुरा,सीतापुरा,bundi,तालेड़ा,2935,alphanagar,sitapura,talera,
अल्फानगर,गागोस,गागोस,bundi,तालेड़ा,2936,alphanagar,gagos,talera,
अल्फानगर,मोटूका,मोटूका,bundi,तालेड़ा,2937,alphanagar,motuka,talera,
धनातरी,धनातरी,धनातरी,bundi,,2938,dhanati,dhanati,,
धनातरी,भरता बावडी,भरता बावडी,bundi,,2939,dhanati,bharata bawdi,,
धनातरी,बीलूबा,बीलूबा,bundi,,2940,dhanati,biluba,,
धनातरी,अंधेड,अंधेड,bundi,,2941,dhanati,andhed,,
धनातरी,भंवरिया कुआ,भंवरिया कुआ,bundi,,,dhanati,bhanwariya kua,,
बम्बोरी,बम्बोरी,बम्बोरी,bundi,बून्दी,2942,bambori,bambori,bundi,
बम्बोरी,नन्दपुरा,नन्दपुरा,bundi,बून्दी,2943,bambori,nandpura,bundi,
बम्बोरी,बन का खेडा,बन का खेडा,bundi,बून्दी,2944,bambori,ban ka kheda,bundi,
बम्बोरी,गोबरिया,गोबरिया,bundi,बून्दी,2945,bambori,gobaria,bundi,
बम्बोरी,जावटीखुर्द,जावटीखुर्द,bundi,बून्दी,2946,bambori,javatikhurd,bundi,
बम्बोरी,ऐबरा 6 .,ऐबरा 6 .,bundi,बून्दी,2947,bambori,aba 6.,bundi,
दोलाडा,दोलाडा,दोलाडा,bundi,बून्दी,2948,dolada,dolada,bundi,
दोलाडा,बालापुरा,बालापुरा,bundi,बून्दी,2949,dolada,balapura,bundi,
दोलाडा,कुवारती,कुवारती,bundi,बून्दी,2950,dolada,kuwarrati,bundi,
दोलाडा,बलदेवपुरा,बलदेवपुरा,bundi,बून्दी,2951,dolada,baldevpura,bundi,
दोलाडा,शिव शक्ति का खेडा,शिव शक्ति का खेडा,bundi,बून्दी,2954,dolada,shiv shakti ka kheda,bundi,
हटटीपुरा,हटटीपुरा,हटटीपुरा,bundi,बून्दी,2958,hattipura,hattipura,bundi,
हटटीपुरा,कांजरी सीलोर,कांजरी सीलोर,bundi,बून्दी,2959,hattipura,kanjar sealore,bundi,
हटटीपुरा,बीबनवा,बीबनवा,bundi,बून्दी,2960,hattipura,bibanwa,bundi,
हटटीपुरा,रघुवीरपुरा,रघुवीरपुरा,bundi,बून्दी,2961,hattipura,raghuvirpura,bundi,
हटटीपुरा,बहादुरपुरा,बहादुरपुरा,bundi,बून्दी,2962,hattipura,bahadurpura,bundi,
हटटीपुरा,अस्तोली,अस्तोली,bundi,बून्दी,2963,hattipura,astoli,bundi,
हटटीपुरा,दौलतपुरा,दौलतपुरा,bundi,बून्दी,2964,hattipura,daulatpura,bundi,
जावटीकला,जावटीकला,जावटीकला,bundi,बून्दी,2965,javatikala,javatikala,bundi,
जावटीकला,गणपतपुरा,गणपतपुरा,bundi,बून्दी,2966,javatikala,ganpatpura,bundi,
जावटीकला,काटूनारा,काटूनारा,bundi,बून्दी,2967,javatikala,katunara,bundi,
जावटीकला,रघनाथपुरा,रघनाथपुरा,bundi,बून्दी,2968,javatikala,raghnathpura,bundi,
जावटीकला,गोवर्धनपुरा,गोवर्धनपुरा,bundi,बून्दी,2969,javatikala,govardhanpura,bundi,
जावटीकला,दयालपुरा,दयालपुरा,bundi,बून्दी,2970,javatikala,dayalpura,bundi,
डाबी,डाबी,डाबी,bundi,तालेड़ा,2971,dabi,dabi,talera,
डाबी,बेवडिया,बेवडिया,bundi,तालेड़ा,2972,dabi,bewadia,talera,
डाबी,डबूसर,डबूसर,bundi,तालेड़ा,2973,dabi,dabusar,talera,
डाबी,थडी,थडी,bundi,तालेड़ा,2974,dabi,thdi,talera,
धनेश्वर,धनेश्वर,धनेश्वर,bundi,तालेड़ा,2975,dhaneshwar,dhaneshwar,talera,
धनेश्वर,कंवरपुरा,कंवरपुरा,bundi,तालेड़ा,2976,dhaneshwar,kanwarpura,talera,
धनेश्वर,बगचाच,बगचाच,bundi,तालेड़ा,2977,dhaneshwar,bagchach,talera,
धनेश्वर,सूतडा,सूतडा,bundi,तालेड़ा,2978,dhaneshwar,sutada,talera,
धनेश्वर,भवानीपुरा,भवानीपुरा,bundi,तालेड़ा,2979,dhaneshwar,bhawanipura,talera,
धनेश्वर,भगवानपुरा उर्फ,भगवानपुरा उर्फ,bundi,तालेड़ा,2980,dhaneshwar,bhagwanpura aka,talera,
धनेश्वर,चेनपुरिया,चेनपुरिया,bundi,तालेड़ा,2981,dhaneshwar,chenpuria,talera,
गणेशपुरा,गणेशपुरा,गणेशपुरा,bundi,तालेड़ा,2982,ganeshpura,ganeshpura,talera,
गणेशपुरा,बडफू नरोली .,बडफू नरोली .,bundi,तालेड़ा,2983,ganeshpura,badfu naroli.,talera,
कोटडी,परिहारखेडी,परिहारखेडी,bundi,पिड़ावा,2984,kotdi,pariharkhedi,pidawa,
कोटडी,कोटडी,कोटडी,bundi,पिड़ावा,2985,kotdi,kotdi,pidawa,
कोटडी,धाराखेडी,धाराखेडी,bundi,पिड़ावा,2986,kotdi,dharakhedi,pidawa,
कोटडी,जोबलेन,जोबलेन,bundi,पिड़ावा,2987,kotdi,joblane,pidawa,
कोटडी,रूपपुरा,रूपपुरा,bundi,पिड़ावा,2988,kotdi,rooppura,pidawa,
कोटडी,बिस्मिल्लाहपुरा,बिस्मिल्लाहपुरा,bundi,पिड़ावा,,kotdi,bismillahpura,pidawa,
गोविन्दपुरा,अमीनपुरा,अमीनपुरा,bundi,पिड़ावा,2989,govindpura,aminpura,pidawa,
माधोराजपुरा,माधोराजपुरा,माधोराजपुरा,bundi,पिड़ावा,2990,madhorajpura,madhorajpura,pidawa,
माधोराजपुरा,बालीथा,बालीथा,bundi,पिड़ावा,2991,madhorajpura,balitha,pidawa,
माधोराजपुरा,खेडली,खेडली,bundi,पिड़ावा,2992,madhorajpura,khedli,pidawa,
माधोराजपुरा,जगनाथा,जगनाथा,bundi,पिड़ावा,2993,madhorajpura,jaganatha,pidawa,
माधोराजपुरा,जाखरून,जाखरून,bundi,पिड़ावा,2994,madhorajpura,jakhron,pidawa,
चड़ी,चडी,चडी,bundi,पिड़ावा,2995,block,chadi,pidawa,
चड़ी,हस्तिनापुर,हस्तिनापुर,bundi,पिड़ावा,2996,block,hastinapur,pidawa,
चड़ी,इन्द्रपुरिया 4. के ० पाटन ( ग्रामीण ),इन्द्रपुरिया 4. के ० पाटन ( ग्रामीण ),bundi,पिड़ावा,2997,block,indrapuria 4. k. patan (rural),pidawa,
सारसला,सारसला,सारसला,bundi,पिड़ावा,2998,sarsala,sarsala,pidawa,
सारसला,अणतपुरा,अणतपुरा,bundi,पिड़ावा,2999,sarsala,anatpura,pidawa,
सारसला,श्रीपुरा,श्रीपुरा,bundi,पिड़ावा,3000,sarsala,sripura,pidawa,
सारसला,नोताडा,नोताडा,bundi,पिड़ावा,3001,sarsala,notada,pidawa,
सारसला,समदपुरिया,समदपुरिया,bundi,पिड़ावा,3002,sarsala,samadpuria,pidawa,
बालोद,बालोद,बालोद,bundi,पिड़ावा,3005,balod,balod,pidawa,
बालोद,डोलर,डोलर,bundi,पिड़ावा,3006,balod,doller,pidawa,
बालोद,जगदरी,जगदरी,bundi,पिड़ावा,3007,balod,jagadri,pidawa,
बालोद,पीपल्दा जांगीर,पीपल्दा जांगीर,bundi,पिड़ावा,3008,balod,peepalda jangir,pidawa,
बालोद,खेडली व्यासान,खेडली व्यासान,bundi,पिड़ावा,3009,balod,khedli vyasan,pidawa,
बालोद,बीरज,बीरज,bundi,पिड़ावा,3010,balod,birj,pidawa,
अरनेठा,अरनेठा,अरनेठा,bundi,पिड़ावा,3011,arantha,arantha,pidawa,
करवाला,करवाला,करवाला,bundi,पिड़ावा,3012,karwala,karwala,pidawa,
करवाला,बनियानी,बनियानी,bundi,पिड़ावा,3013,karwala,baniyani,pidawa,
करवाला,बालदडा,बालदडा,bundi,पिड़ावा,3015,karwala,baldada,pidawa,
करवाला,रघुनाथपुरा,रघुनाथपुरा,bundi,पिड़ावा,3016,karwala,raghunathpura,pidawa,
जयस्थल,जयस्थल,जयस्थल,bundi,पिड़ावा,3017,jayasthal,jayasthal,pidawa,
जयस्थल,दौताना,दौताना,bundi,पिड़ावा,3018,jayasthal,dautana,pidawa,
जयस्थल,ओहडी,ओहडी,bundi,पिड़ावा,3019,jayasthal,ohdi,pidawa,
बालेसरसत्ता,बालेसरसत्ता,बालेसरसत्ता,jodhpur,बालेसर,3020,balesirsatta,balesirsatta,balesar,
बालेसरसत्ता,हिम्मतनगर,हिम्मतनगर,jodhpur,बालेसर,3021,balesirsatta,himmatnagar,balesar,
बालेसरसत्ता,शहीद पैहपनगर,शहीद पैहपनगर,jodhpur,बालेसर,3022,balesirsatta,shaheed pahnnagar,balesar,
बालेसरसत्ता,जीवराजनगर,जीवराजनगर,jodhpur,बालेसर,3023,balesirsatta,jeevarajanagar,balesar,
बालेसरसत्ता,अमृतनगर,अमृतनगर,jodhpur,बालेसर,3024,balesirsatta,amritnagar,balesar,
बालेसरसत्ता,जैतसर,जैतसर,jodhpur,बालेसर,3025,balesirsatta,jaitasar,balesar,
बालेसरसत्ता,जलन्धरनगर,जलन्धरनगर,jodhpur,बालेसर,3026,balesirsatta,jalandhanagar,balesar,
बालेसरसत्ता,पृथ्वीराजनगर,पृथ्वीराजनगर,jodhpur,बालेसर,3027,balesirsatta,prithvirajanagar,balesar,
कोलाना,कोलाना,कोलाना,jhalawar,झालरापाटन,3028,kolana,kolana,jhalrapatan,
कोलाना,बावडीखेडा,बावडीखेडा,jhalawar,झालरापाटन,3029,kolana,bawdikheda,jhalrapatan,
कोलाना,मूंडेरी,मूंडेरी,jhalawar,झालरापाटन,3030,kolana,munderi,jhalrapatan,
कोलाना,भंवरिया,भंवरिया,jhalawar,झालरापाटन,3031,kolana,bhanwariya,jhalrapatan,
कोलाना,खैरासी,खैरासी,jhalawar,झालरापाटन,3032,kolana,poor,jhalrapatan,
कोलाना,सेमली पटपडिया,सेमली पटपडिया,jhalawar,झालरापाटन,3033,kolana,semli patpadia,jhalrapatan,
कोलाना,चंगेरी,चंगेरी,jhalawar,झालरापाटन,3034,kolana,gengeri,jhalrapatan,
कोलाना,चारियाखेडी,चारियाखेडी,jhalawar,झालरापाटन,3035,kolana,chariakhedi,jhalrapatan,
कोलाना,गुवाडी खुर्द,गुवाडी खुर्द,jhalawar,झालरापाटन,3036,kolana,guwadi khurd,jhalrapatan,
कोलाना,गुवाडीकला,गुवाडीकला,jhalawar,झालरापाटन,3037,kolana,guvadikala,jhalrapatan,
कोलाना,बाल्याखेडी,बाल्याखेडी,jhalawar,झालरापाटन,3038,kolana,balyakhedi,jhalrapatan,
कोलाना,खरखेड़ा,खरखेड़ा,jhalawar,झालरापाटन,3039,kolana,kharkheda,jhalrapatan,
मण्डावर,मण्डावर,मण्डावर,jhalawar,झालरापाटन,3040,mandawar,mandawar,jhalrapatan,
मण्डावर,बुढ मण्डावर,बुढ मण्डावर,jhalawar,झालरापाटन,3041,mandawar,budh mandawar,jhalrapatan,
बालेसर दुर्गावता,बालेसर दुर्गावता,बालेसर दुर्गावता,jodhpur,बालेसर,3043,balesar durgavata,balesar durgavata,balesar,
बालेसर दुर्गावता,देवनगर,देवनगर,jodhpur,बालेसर,3044,balesar durgavata,devanagar,balesar,
बालेसर दुर्गावता,केरलानगर,केरलानगर,jodhpur,बालेसर,3045,balesar durgavata,keralanagar,balesar,
बालेसर दुर्गावता,जोगराजनगर,जोगराजनगर,jodhpur,बालेसर,3046,balesar durgavata,jogarajanagar,balesar,
बालेसर दुर्गावता,सूर्यनगर,सूर्यनगर,jodhpur,बालेसर,3047,balesar durgavata,suryanagar,balesar,
बेलवा,बेलवा,बेलवा,jodhpur,बालेसर,3048,belwa,belwa,balesar,
बेलवा,रावलगढ,रावलगढ,jodhpur,बालेसर,3049,belwa,rawalgarh,balesar,
बेलवा,राजगढ,राजगढ,jodhpur,बालेसर,3050,belwa,rajgarh,balesar,
बेलवा,जीयाबेरा,जीयाबेरा,jodhpur,बालेसर,3051,belwa,jiabera,balesar,
बेलवा,हड़मतनगर,हड़मतनगर,jodhpur,बालेसर,3052,belwa,hermatnagar,balesar,
बेलवा,मुकनसर,मुकनसर,jodhpur,बालेसर,3053,belwa,mukansar,balesar,
बेलवा,भानगढ,भानगढ,jodhpur,बालेसर,3054,belwa,bhangarh,balesar,
बेलवा राणाजी,बेलवा राणाजी,बेलवा राणाजी,jodhpur,बालेसर,3055,belwa ranaji,belwa ranaji,balesar,
बेलवा राणाजी,मनोहरसिंहनगर,मनोहरसिंहनगर,jodhpur,बालेसर,3056,belwa ranaji,manohar singh nagar,balesar,
बेलवा राणाजी,चडोयतनगर,चडोयतनगर,jodhpur,बालेसर,3057,belwa ranaji,chadoyanagar,balesar,
बेलवा राणाजी,हिमायतनगर,हिमायतनगर,jodhpur,बालेसर,3058,belwa ranaji,himayatnagar,balesar,
